UF, Cidade, PCA-Ratio, MAE, RMSE, R
AC, Brasiléia, 0.9969487744426759, 0.09382407915623224, 0.16485376654402642, 0.43757264954378833
AL, Palmeira dos Índios, 0.9866899723652112, 0.4517938931415896, 0.9412639189239697, 0.7898580929326694
AM, Barcelos, 0.982549085769495, 0.17262756682099054, 0.38522719033384134, 0.8974402978130629
AP, Porto Platon, 0.9995833400764794, 0.20991262305512295, 0.43641334850886265, 0.8122898499241368
BA, Barreiras, 0.971694838924393, 0.20884934644996336, 0.5228226265482925, 0.8301511532845062
CE, Juazeiro do Norte, 0.9947351689676157, 0.29605972088755644, 0.6857854101966525, 0.7760528227099688
DF, Brasilia, 0.986613374490896, 0.36620208196376275, 0.80603788443201, 0.8373957275078965
ES, Linhares, 0.9835644705269179, 0.46734916156916617, 0.9548414993427927, 0.8330317884210564
GO, Goianésia, 1.0, 0.18520453870064732, 0.3982622820505239, 0.8310262768907363
MA, São Luis, 0.9737956167562727, 0.5405651991271287, 1.0168397263461786, 0.6788443048633389
MG, Araçuaí, 0.9872406055615827, 0.11065146843109576, 0.28998865450927863, 0.864946712513795
MS, Corumbá, 0.978780948333305, 0.4648742557076611, 0.9587375015089925, 0.6778881860906066
MT, Sangradouro, 0.9942195635961633, 0.1835312588821341, 0.3739886145825286, 0.726117905141904
PA, Belterra, 0.9783496493321368, 0.19596575791761625, 0.42497966277389354, 0.8425898357898545
PB, Monteiro, 0.9759236496140383, 0.4758971775820474, 0.9774183012324005, 0.704463084819923
PE, Olinda, 0.9953878997044363, 0.3533742825559221, 0.7386380893912897, 0.8800799511740907
PI, Morro dos Cavalos, 1.0, 0.5525405806607562, 1.0390528621360595, 0.6366448218227114
PR, Rio Negro, 0.9966566942032967, 0.35139485490407757, 0.7221708122180599, 0.753234049589377
RJ, Araras, 1.0, 0.26557998439610514, 0.60956735489735, 0.7541426754618529
RN, Ceará Mirim, 0.9644831322106501, 0.741236997055547, 1.4107893876871225, 0.708921218909512
RO, Porto Velho, 0.9766576300251151, 0.20084145738143433, 0.46518264705758483, 0.8252758460738507
RR, Boa Vista, 0.9833722964843875, 0.42763896959348374, 0.8868051429637727, 0.8094429668050268
RS, Caçapava do Sul, 1.0, 0.22031596025590855, 0.5426680148674352, 0.9194120517617205
SC, Indaial, 0.9852323654835262, 0.3160295793621717, 0.6759097088387326, 0.7355522499651518
SE, Aracaju, 0.9801772581468777, 0.38381076524724095, 0.8312815066319582, 0.8474785520812015
SP, Catanduva, 0.9811535941931915, 0.3957919363204486, 0.8445811818851876, 0.8081412815309218
TO, Paranã, 0.9909772962694486, 0.2290246464148842, 0.5099563364018064, 0.9084066363669642
